"Universidad Nacional del Litoral"	"Santa Fé"	"Santa Fé"	"AR"
"Universidad Tecnológica Nacional"	"Santa Fé"	"Santa Fé"	"AR"
"Universidad Católica de Santiago del Estero"	"Santiago del Estero"	"Santiago del Estero"	"AR"
"Universidad Nacional de Santiago del Estero"	"Santiago del Estero"	"Santiago del Estero"	"AR"
"Universidad Tecnológica Nacional"	"Río Grande"	"Tierra del Fuego"	"AR"
"Universidad del Norte Santo Tomás de Aquino"	"San Miguel de Tucumán"	"Tucumán"	"AR"
"Universidad Nacional de Tucumán"	"San Miguel de Tucumán"	"Tucumán"	"AR"
"Universidad San Pablo"	"San Miguel de Tucumán"	"Tucumán"	"AR"
"Universidad Tecnológica Nacional"	"San Miguel de Tucumán"	"Tucumán"	"AR"
"Australian National University"	"Canberra"	"Australian Capital Territory"	"AU"
"University of Canberra"	"Canberra"	"Australian Capital Territory"	"AU"
"University of New England"	"Armidale"	"New South Wales"	"AU"
"University of Newcastle"	"Callaghan"	"New South Wales"	"AU"
"University of New South Wales"	"Kensington"	"New South Wales"	"AU"
"University of New South Wales"	"Paddington"	"New South Wales"	"AU"
"Central Queensland University"	"Sydney"	"New South Wales"	"AU"
"Charles Sturt University"	"Sydney"	"New South Wales"	"AU"
"Macquarie University"	"Sydney"	"New South Wales"	"AU"
"Southern Cross University"	"Sydney"	"New South Wales"	"AU"
"University of Sydney"	"Sydney"	"New South Wales"	"AU"
"University of Technology Sydney"	"Sydney"	"New South Wales"	"AU"
"University of Western Sydney"	"Sydney"	"New South Wales"	"AU"
"University of Wollongong"	"Wollongong"	"New South Wales"	"AU"
"Charles Darwin University"	"Darwin"	"Northern Territory"	"AU"
"Central Queensland University"	"Brisbane"	"Queensland"	"AU"
"Griffith University"	"Brisbane"	"Queensland"	"AU"
"James Cook University"	"Brisbane"	"Queensland"	"AU"
"Queensland University of Technology"	"Brisbane"	"Queensland"	"AU"
"University of Queensland"	"Brisbane"	"Queensland"	"AU"
"Central Queensland University"	"Bundaberg"	"Queensland"	"AU"
