beta|&#946;|&beta;| greek small letter beta, u+03B2 ISOgrk3 |beta
gamma|&#947;|&gamma;| greek small letter gamma, u+03B3 ISOgrk3 |gamma
delta|&#948;|&delta;| greek small letter delta, u+03B4 ISOgrk3 |delta
epsilon|&#949;|&epsilon;| greek small letter epsilon, u+03B5 ISOgrk3 |epsilon
zeta|&#950;|&zeta;| greek small letter zeta, u+03B6 ISOgrk3 |zeta
eta|&#951;|&eta;| greek small letter eta, u+03B7 ISOgrk3 |eta
theta|&#952;|&theta;| greek small letter theta, u+03B8 ISOgrk3 |theta
iota|&#953;|&iota;| greek small letter iota, u+03B9 ISOgrk3 |iota
kappa|&#954;|&kappa;| greek small letter kappa, u+03BA ISOgrk3 |kappa
lambda|&#955;|&lambda;| greek small letter lambda, u+03BB ISOgrk3 |lambda
mu|&#956;|&mu;| greek small letter mu, u+03BC ISOgrk3 |mu
nu|&#957;|&nu;| greek small letter nu, u+03BD ISOgrk3 |nu
xi|&#958;|&xi;| greek small letter xi, u+03BE ISOgrk3 |xi
omicron|&#959;|&omicron;| greek small letter omicron, u+03BF NEW |omicron
pi|&#960;|&pi;| greek small letter pi, u+03C0 ISOgrk3 |pi
rho|&#961;|&rho;| greek small letter rho, u+03C1 ISOgrk3 |rho
sigmaf|&#962;|&sigmaf;| greek small letter final sigma, u+03C2 ISOgrk3 |sigmaf
sigma|&#963;|&sigma;| greek small letter sigma, u+03C3 ISOgrk3 |sigma
tau|&#964;|&tau;| greek small letter tau, u+03C4 ISOgrk3 |tau
upsilon|&#965;|&upsilon;| greek small letter upsilon, u+03C5 ISOgrk3 |upsilon
phi|&#966;|&phi;| greek small letter phi, u+03C6 ISOgrk3 |phi
chi|&#967;|&chi;| greek small letter chi, u+03C7 ISOgrk3 |chi
psi|&#968;|&psi;| greek small letter psi, u+03C8 ISOgrk3 |psi
omega|&#969;|&omega;| greek small letter omega, u+03C9 ISOgrk3 |omega
thetasym|&#977;|&thetasym;| greek small letter theta symbol, u+03D1 NEW |thetasym
upsih|&#978;|&upsih;| greek upsilon with hook symbol, u+03D2 NEW |upsih
piv|&#982;|&piv;| greek pi symbol, u+03D6 ISOgrk3 |piv
bull|&#8226;|&bull;| bullet, =black small circle, u+2022 ISOpub |bull
hellip|&#8230;|&hellip;| horizontal ellipsis, =three dot leader, u+2026 ISOpub |hellip
prime|&#8242;|&prime;| prime, =minutes, =feet, u+2032 ISOtech |prime
Prime|&#8243;|&Prime;| double prime, =seconds, =inches, u+2033 ISOtech |Prime
oline|&#8254;|&oline;| overline, =spacing overscore, u+203E NEW |oline
frasl|&#8260;|&frasl;| fraction slash, u+2044 NEW |frasl
weierp|&#8472;|&weierp;| script capital P, =power set, =Weierstrass p, u+2118 ISOamso |weierp
image|&#8465;|&image;| blackletter capital I, =imaginary part, u+2111 ISOamso |image
real|&#8476;|&real;| blackletter capital R, =real part symbol, u+211C ISOamso |real
trade|&#8482;|&trade;| trade mark sign, u+2122 ISOnum |trade
alefsym|&#8501;|&alefsym;| alef symbol, =first transfinite cardinal, u+2135 NEW |alefsym
larr|&#8592;|&larr;| leftwards arrow, u+2190 ISOnum |larr
uarr|&#8593;|&uarr;| upwards arrow, u+2191 ISOnum|uarr
rarr|&#8594;|&rarr;| rightwards arrow, u+2192 ISOnum |rarr
darr|&#8595;|&darr;| downwards arrow, u+2193 ISOnum |darr
harr|&#8596;|&harr;| left right arrow, u+2194 ISOamsa |harr
crarr|&#8629;|&crarr;| downwards arrow with corner leftwards, =carriage return, u+21B5 NEW |crarr
lArr|&#8656;|&lArr;| leftwards double arrow, u+21D0 ISOtech |lArr
uArr|&#8657;|&uArr;| upwards double arrow, u+21D1 ISOamsa |uArr
rArr|&#8658;|&rArr;| rightwards double arrow, u+21D2 ISOtech |rArr
dArr|&#8659;|&dArr;| downwards double arrow, u+21D3 ISOamsa |dArr
hArr|&#8660;|&hArr;| left right double arrow, u+21D4 ISOamsa |hArr
forall|&#8704;|&forall;| for all, u+2200 ISOtech |forall
part|&#8706;|&part;| partial differential, u+2202 ISOtech |part
exist|&#8707;|&exist;| there exists, u+2203 ISOtech |exist
empty|&#8709;|&empty;| empty set, =null set, =diameter, u+2205 ISOamso |empty
nabla|&#8711;|&nabla;| nabla, =backward difference, u+2207 ISOtech |nabla
isin|&#8712;|&isin;| element of, u+2208 ISOtech |isin
notin|&#8713;|&notin;| not an element of, u+2209 ISOtech |notin
ni|&#8715;|&ni;| contains as member, u+220B ISOtech |ni
prod|&#8719;|&prod;| n-ary product, =product sign, u+220F ISOamsb |prod
sum|&#8721;|&sum;| n-ary sumation, u+2211 ISOamsb |sum
minus|&#8722;|&minus;| minus sign, u+2212 ISOtech |minus
lowast|&#8727;|&lowast;| asterisk operator, u+2217 ISOtech |lowast
radic|&#8730;|&radic;| square root, =radical sign, u+221A ISOtech |radic
prop|&#8733;|&prop;| proportional to, u+221D ISOtech |prop
infin|&#8734;|&infin;| infinity, u+221E ISOtech |infin
ang|&#8736;|&ang;| angle, u+2220 ISOamso |ang
and|&#8869;|&and;| logical and, =wedge, u+2227 ISOtech |and
or|&#8870;|&or;| logical or, =vee, u+2228 ISOtech |or
cap|&#8745;|&cap;| intersection, =cap, u+2229 ISOtech |cap
cup|&#8746;|&cup;| union, =cup, u+222A ISOtech |cup
int|&#8747;|&int;| integral, u+222B ISOtech |int
there4|&#8756;|&there4;| therefore, u+2234 ISOtech |there4
sim|&#8764;|&sim;| tilde operator, =varies with, =similar to, u+223C ISOtech |sim
cong|&#8773;|&cong;| approximately equal to, u+2245 ISOtech |cong
asymp|&#8776;|&asymp;| almost equal to, =asymptotic to, u+2248 ISOamsr |asymp
ne|&#8800;|&ne;| not equal to, u+2260 ISOtech |ne
equiv|&#8801;|&equiv;| identical to, u+2261 ISOtech |equiv
le|&#8804;|&le;| less-than or equal to, u+2264 ISOtech |le
ge|&#8805;|&ge;| greater-than or equal to, u+2265 ISOtech |ge
sub|&#8834;|&sub;| subset of, u+2282 ISOtech |sub
sup|&#8835;|&sup;| superset of, u+2283 ISOtech |sup
nsub|&#8836;|&nsub;| not a subset of, u+2284 ISOamsn |nsub
sube|&#8838;|&sube;| subset of or equal to, u+2286 ISOtech |sube
supe|&#8839;|&supe;| superset of or equal to, u+2287 ISOtech |supe
oplus|&#8853;|&oplus;| circled plus, =direct sum, u+2295 ISOamsb |oplus
otimes|&#8855;|&otimes;| circled times, =vector product, u+2297 ISOamsb |otimes
perp|&#8869;|&perp;| up tack, =orthogonal to, =perpendicular, u+22A5 ISOtech |perp
sdot|&#8901;|&sdot;| dot operator, u+22C5 ISOamsb |sdot
lceil|&#8968;|&lceil;| left ceiling, =apl upstile, u+2308, ISOamsc |lceil
rceil|&#8969;|&rceil;| right ceiling, u+2309, ISOamsc |rceil
lfloor|&#8970;|&lfloor;| left floor, =apl downstile, u+230A, ISOamsc |lfloor
rfloor|&#8971;|&rfloor;| right floor, u+230B, ISOamsc |rfloor
lang|&#9001;|&lang;| left-pointing angle bracket, =bra, u+2329 ISOtech |lang
rang|&#9002;|&rang;| right-pointing angle bracket, =ket, u+232A ISOtech |rang
loz|&#9674;|&loz;| lozenge, u+25CA ISOpub |loz
spades|&#9824;|&spades;| black spade suit, u+2660 ISOpub |spades
clubs|&#9827;|&clubs;| black club suit, =shamrock, u+2663 ISOpub |clubs
hearts|&#9829;|&hearts;| black heart suit, =valentine, u+2665 ISOpub |hearts
diams|&#9830;|&diams;| black diamond suit, u+2666 ISOpub |diams
quot|&#34;|&quot;| quotation mark, =apl quote, u+0022 ISOnum |quot
OElig|&#338;|&OElig;| latin capital ligature oe, u+0152 ISOlat2 |OElig
oelig|&#339;|&oelig;| latin small ligature oe, u+0153 ISOlat2 |oelig
Scaron|&#352;|&Scaron;| latin capital letter s with caron, u+0160 ISOlat2 |Scaron
scaron|&#353;|&scaron;| latin small letter s with caron, u+0161 ISOlat2 |scaron
Yuml|&#376;|&Yuml;| latin capital letter y with diaeresis, u+0178 ISOlat2 |Yuml
circ|&#710;|&circ;| modifier letter circumflex accent, u+02C6 ISOpub |circ
tilde|&#732;|&tilde;| small tilde, u+02DC ISOdia |tilde
ensp|&#8194;|&ensp;| en space, u+2002 ISOpub |ensp
emsp|&#8195;|&emsp;| em space, u+2003 ISOpub |emsp
thinsp|&#8201;|&thinsp;| thin space, u+2009 ISOpub |thinsp
zwnj|&#8204;|&zwnj;| zero width non-joiner, u+200C NEW RFC 2070 |zwnj
zwj|&#8205;|&zwj;| zero width joiner, u+200D NEW RFC 2070 |zwj
lrm|&#8206;|&lrm;| left-to-right mark, u+200E NEW RFC 2070 |lrm
rlm|&#8207;|&rlm;| right-to-left mark, u+200F NEW RFC 2070 |rlm
ndash|&#8211;|&ndash;| en dash, u+2013 ISOpub |ndash
mdash|&#8212;|&mdash;| em dash, u+2014 ISOpub |mdash
lsquo|&#8216;|&lsquo;| left single quotation mark, u+2018 ISOnum |lsquo
rsquo|&#8217;|&rsquo;| right single quotation mark, u+2019 ISOnum |rsquo
sbquo|&#8218;|&sbquo;| single low-9 quotation mark, u+201A NEW |sbquo
ldquo|&#8220;|&ldquo;| left double quotation mark, u+201C ISOnum |ldquo
rdquo|&#8221;|&rdquo;| right double quotation mark, u+201D ISOnum |rdquo
bdquo|&#8222;|&bdquo;| double low-9 quotation mark, u+201E NEW |bdquo
dagger|&#8224;|&dagger;| dagger, u+2020 ISOpub |dagger
Dagger|&#8225;|&Dagger;| double dagger, u+2021 ISOpub |Dagger
permil|&#8240;|&permil;| per mille sign, u+2030 ISOtech |permil
lsaquo|&#8249;|&lsaquo;| single left-pointing angle quotation mark, u+2039 ISO proposed |lsaquo
rsaquo|&#8250;|&rsaquo;| single right-pointing angle quotation mark, u+203A ISO proposed |rsaquo
hairsp|&#8202;|&hairsp;|hair space|hairsp
+|&#43;|&plus;|plus sign|plus
€|&#128;|&Eur;|Euro|Eur
‚|&#130;|&low;|low left rising single quote|low
ƒ|&#131;|&small;|small italic f, function of,|small
„|&#132;|&low;|low left rising double quote|low
…|&#133;|&low;|low horizontal ellipsis|low
‰|&#137;|&per;|per thousand (mille) sign|per
Š|&#138;|&capital;|capital S caron or hacek|capital
‹|&#139;|&left;|left single angle quote mark|left
Œ|&#140;|&capital;|capital OE ligature|capital
Ž|&#142;|&;| |
˜|&#152;|&small;|small spacing tilde accent|small
š|&#154;|&small;|small s caron or hacek|small
›|&#155;|&right;|right single angle quote mark|right
œ|&#156;|&small;|small oe ligature|small
ž|&#158;|&;| |
Ÿ|&#159;|&capital;|capital Y dieresis or umlaut|capital
Ā|&#256;|&Amacr;|Amacr - latin capital letter A with macron|Amacr
ā|&#257;|&amacr;|amacr - latin small letter a with macron|amacr
Ă|&#258;|&Acaron;|Acaron - latin capital letter A with caron (breve)|Acaron
ă|&#259;|&acaron;|acaron - latin small letter a with caron (breve)|acaron
Ą|&#260;|&Acedil;|Acedil - latin capital letter A with cedilla|Acedil
ą|&#261;|&acedil;|acedil - latin small letter a with cedilla|acedil
Ć|&#262;|&Cacute;|Cacute - latin capital letter C with acute|Cacute
ć|&#263;|&cacute;|cacute - latin small letter c with acute|cacute
Č|&#268;|&Ccaron;|Ccaron - latin capital letter C with caron|Ccaron
č|&#269;|&ccaron;|ccaron - latin small letter c with caron|ccaron
Ď|&#270;|&Dcaron;|Dcaron - latin capital letter D with caron|Dcaron
Đ|&#272;|&Dstrok;|Dstrok - latin capital letter D with stroke|Dstrok
đ|&#273;|&dstrok;|dstrok - latin small letter d with stroke|dstrok
Ē|&#274;|&Emacr;|Emacr - latin capital letter E with macron|Emacr
Ĕ|&#276;|&emacr;|emacr - latin small letter e with macron|emacr
Ė|&#278;|&Edot;|Edot - latin capital letter E with dot above|Edot
ė|&#279;|&edot;|edot - latin small letter e with dot above|edot
Ę|&#280;|&Ecedil;|Ecedil - latin capital letter E with cedilla|Ecedil
ę|&#281;|&ecedil;|ecedil - latin small letter e with cedilla|ecedil
Ě|&#282;|&Ecaron;|Ecaron - latin capital letter E with caron|Ecaron
ě|&#283;|&ecaron;|ecaron - latin small letter e with caron|ecaron
