Symbol	ISSN in use	Print ISSN	E-ISSN	Collection Name	Acronym	Short Title	Title	Short Title-NLM	Publisher	URL journal page	License
scl	0370-4467	0370-4467	1807-0353	Brazil	rem	Rem: Rev. Esc. Minas	Rem: Revista Escola de Minas		Escola de Minas	http://www.scielo.br/scielo.php?script=sci_serial&pid=0370-4467&lng=en	by/4.0
scl	1980-993X		1980-993X	Brazil	ambiagua	Rev. Ambient. Água	Revista Ambiente & Água		Instituto de Pesquisas Ambientais em Bacias Hidrográficas	http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-993X&lng=en	by/4.0
scl	1983-8042	1983-8042	1983-8034	Brazil	bioet	Rev. Bioét.	Revista Bioética		Conselho Federal de Medicina	http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-8042&lng=en	by/4.0
scl	0034-7094	0034-7094	1806-907X	Brazil	rba	Rev. Bras. Anestesiol.	Revista Brasileira de Anestesiologia	Rev Bras Anestesiol	Sociedade Brasileira de Anestesiologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7094&lng=en	by-nc-nd/4.0
scl	1980-0037	1415-8426	1980-0037	Brazil	rbcdh	Rev. bras. cineantropom. desempenho hum.	Revista Brasileira de Cineantropometria & Desempenho Humano		Universidade Federal de Santa Catarina	http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-0037&lng=en	by/4.0
scl	1983-5175	1983-5175		Brazil	rbcp	Rev. Bras. Cir. Plást.	Revista Brasileira de Cirurgia Plástica		Sociedade Brasileira de Cirurgia Plástica	http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-5175&lng=en	by-nc/4.0
scl	1516-635X	1516-635X	1806-9061	Brazil	rbca	Rev. Bras. Cienc. Avic.	Revista Brasileira de Ciência Avícola		Fundação APINCO de Ciência e Tecnologia Avícolas	http://www.scielo.br/scielo.php?script=sci_serial&pid=1516-635X&lng=en	by/4.0
scl	0103-3352	0103-3352	2178-4884	Brazil	rbcpol	Rev. Bras. Ciênc. Polít.	Revista Brasileira de Ciência Política		Universidade de Brasília. Instituto de Ciência Política	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-3352&lng=en	by-nc/4.0
scl	0100-0683	0100-0683	1806-9657	Brazil	rbcs	Rev. Bras. Ciênc. Solo	Revista Brasileira de Ciência do Solo		Sociedade Brasileira de Ciência do Solo	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-0683&lng=en	by/4.0
scl	0101-3289	0101-3289	2179-3255	Brazil	rbce	Rev. Bras. Ciênc. Esporte	Revista Brasileira de Ciências do Esporte		Colégio Brasileiro de Ciências do Esporte	http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-3289&lng=en	by-nc-nd/4.0
scl	0101-9880	0101-9880		Brazil	rbc	Rev bras. colo-proctol.	Revista Brasileira de Coloproctologia		Cidade Editora Científica Ltda	http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-9880&lng=en	by-nc/4.0
scl	0034-7140	0034-7140	1806-9134	Brazil	rbe	Rev. Bras. Econ.	Revista Brasileira de Economia		Fundação Getúlio Vargas	http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7140&lng=en	by/4.0
scl	1413-2478	1413-2478	1809-449X	Brazil	rbedu	Rev. Bras. Educ.	Revista Brasileira de Educação		Editora Autores Associados	http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-2478&lng=en	by/4.0
scl	1413-6538	1413-6538	1980-5470	Brazil	rbee	Rev. bras. educ. espec.	Revista Brasileira de Educação Especial		Associação Brasileira de Pesquisadores em Educação Especial - ABPEE	http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-6538&lng=en	by/4.0
scl	1807-5509	1807-5509	1981-4690	Brazil	rbefe	Rev. bras. educ. fís. esporte	Revista Brasileira de Educação Física e Esporte		Escola de Educação Física e Esporte da Universidade de São Paulo	http://www.scielo.br/scielo.php?script=sci_serial&pid=1807-5509&lng=en	by/4.0
scl	0100-5502	0100-5502	1981-5271	Brazil	rbem	Rev. bras. educ. med.	Revista Brasileira de Educação Médica		Associação Brasileira de Educação Médica	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-5502&lng=en	by/4.0
scl	0034-7167	0034-7167	1984-0446	Brazil	reben	Rev. Bras. Enferm.	Revista Brasileira de Enfermagem	Rev Bras Enferm	Associação Brasileira de Enfermagem	http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7167&lng=en	by/4.0
scl	1415-4366	1415-4366	1807-1929	Brazil	rbeaa	Rev. bras. eng. agríc. ambient.	Revista Brasileira de Engenharia Agrícola e Ambiental		Departamento de Engenharia Agrícola  - UFCG	http://www.scielo.br/scielo.php?script=sci_serial&pid=1415-4366&lng=en	by/4.0
scl	1806-1117	1806-1117	1806-9126	Brazil	rbef	Rev. Bras. Ensino Fís.	Revista Brasileira de Ensino de Física		Sociedade Brasileira de Física	http://www.scielo.br/scielo.php?script=sci_serial&pid=1806-1117&lng=en	by/4.0
scl	0085-5626	0085-5626	1806-9665	Brazil	rbent	Rev. Bras. entomol.	Revista Brasileira de Entomologia		Sociedade Brasileira De Entomologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0085-5626&lng=en	by-nc-nd/4.0
scl	1415-790X	1415-790X	1980-5497	Brazil	rbepid	Rev. bras. epidemiol.	Revista Brasileira de Epidemiologia	Rev Bras Epidemiol	Associação Brasileira de Saúde Coletiva	http://www.scielo.br/scielo.php?script=sci_serial&pid=1415-790X&lng=en	by/4.0
scl	2176-6681	0034-7183	2176-6681	Brazil	rbeped	Rev. Bras. Estud. Pedagog.	Revista Brasileira de Estudos Pedagógicos		Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira	http://www.scielo.br/scielo.php?script=sci_serial&pid=2176-6681&lng=en	by-nc/4.0
scl	2237-2660		2237-2660	Brazil	rbep	Rev. Bras. Estud. Presença	Revista Brasileira de Estudos da Presença		Universidade Federal do Rio Grande do Sul	http://www.scielo.br/scielo.php?script=sci_serial&pid=2237-2660&lng=en	by/4.0
scl	0102-3098	0102-3098		Brazil	rbepop	Rev. bras. estud. popul.	Revista Brasileira de Estudos de População		Associação Brasileira de Estudos Populacionais	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3098&lng=en	by/4.0
scl	0102-695X	0102-695X	1981-528X	Brazil	rbfar	Rev. bras. farmacogn.	Revista Brasileira de Farmacognosia		Sociedade Brasileira de Farmacognosia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-695X&lng=en	by-nc-nd/4.0
